"cve_ent","poblacion","nombre","totalCasos","tasax100k"
"21212","20226","Zautla","1","4.9441"
"22016","301541","San Juan del Rio","1","0.3316"
"22017","78742","Tequisquiapan","1","1.2699"
"23003","23070","Isla Mujeres","1","4.3346"
"23007","31385","Lazaro Cardenas","1","3.1862"
"23010","45083","Bacalar","1","2.2181"
"24003","50884","Aquismon","1","1.9652"
"24011","47527","Ciudad Fernandez","1","2.1040"
"25002","50579","Angostura","1","1.9771"
"25013","48313","Mocorito","1","2.0698"
"25017","94901","Sinaloa","1","1.0537"
"26002","88530","Agua Prieta","1","1.1295"
"26045","2949","Opodepe","1","33.9097"
"27001","64346","Balancan","1","1.5540"
"27016","62448","Teapa","1","1.6013"
"29001","12018","Amaxac de Guerrero","1","8.3208"
"29002","16266","Apetatitlan de Antonio Carvajal","1","6.1477"
"29010","77435","Chiautempan","1","1.2914"
"29016","7759","Ixtenco","1","12.8882"
"29029","14396","Tepeyanco","1","6.9463"
"29031","34866","Tetla de la Solidaridad","1","2.8681"
"29036","24161","Totolac","1","4.1389"
"29039","25784","Xaloztoc","1","3.8783"
"29050","11502","San Francisco Tetlanohcan","1","8.6941"
"29059","7664","Santa Cruz Quilehtla","1","13.0480"
"29060","5367","Santa Isabel Xiloxoxtla","1","18.6323"
"30016","28481","La Antigua","1","3.5111"
"30038","97949","Coatepec","1","1.0209"
"30045","59870","Cosamaloapan de Carpio","1","1.6702"
"30047","60872","Coscomatepec","1","1.6427"
"30068","70428","Fortin","1","1.4198"
"30080","23980","Ixhuatlan del Cafe","1","4.1701"
"30083","56503","Ixhuatlan de Madero","1","1.7698"
"30105","83280","Medellin","1","1.2007"
"30108","164357","Minatitlan","1","0.6084"
"30128","76977","Perote","1","1.2990"
"30135","24439","Rafael Delgado","1","4.0918"
"30138","44568","Rio Blanco","1","2.2437"
"30155","109017","Tantoyuca","1","0.9172"
"30169","24096","Jose Azueta","1","4.1500"
"30189","169763","Tuxpan","1","0.5890"
"30191","32478","Ursulo Galvan","1","3.0790"
"30207","48712","Tres Valles","1","2.0528"
"31008","4328","Calotmul","1","23.1053"
"31038","34856","Hunucma","1","2.8689"
"31040","28872","Izamal","1","3.4635"
"31054","3074","Muxupip","1","32.5309"
"31089","42960","Ticul","1","2.3277"
"31096","82742","Tizimin","1","1.2085"
"32010","242826","Fresnillo","1","0.4118"
"32042","65330","Sombrerete","1","1.5306"
"1002","50864","Asientos","1","1.9660"
"1005","130184","Jesus Maria","1","0.7681"
"1009","22743","Tepezala","1","4.3969"
"1010","21947","El Llano","1","4.5564"
"3002","67727","Mulege","1","1.4765"
"5003","24705","Allende","1","4.0477"
"5004","25477","Arteaga","1","3.9251"
"5009","64483","Francisco I. Madero","1","1.5507"
"5014","10994","Jimenez","1","9.0958"
"5019","9430","Morelos","1","10.6044"
"5020","75647","Muzquiz","1","1.3219"
"5021","7152","Nadadores","1","13.9821"
"5028","69500","Sabinas","1","1.4388"
"5031","25820","San Buenaventura","1","3.8729"
"5033","117370","San Pedro","1","0.8520"
"6005","32829","Cuauhtemoc","1","3.0460"
"7009","44264","Arriaga","1","2.2591"
"7030","38122","Chicomuselo","1","2.6231"
"7034","80805","Frontera Comalapa","1","1.2375"
"7040","59209","Huixtla","1","1.6889"
"7077","68779","Salto de Agua","1","1.4539"
"7086","26510","Suchiapa","1","3.7721"
"7094","47217","Teopisca","1","2.1178"
"7097","97839","Tonala","1","1.0220"
"7108","115691","Villaflores","1","0.8643"
"8001","12953","Ahumada","1","7.7202"
"8011","55255","Camargo","1","1.8097"
"8028","5080","Guadalupe","1","19.6850"
"8038","4913","Julimes","1","20.3541"
"8045","48242","Meoqui","1","2.0728"
"8052","29996","Ojinaga","1","3.3337"
"8062","34050","Saucillo","1","2.9368"
"10006","10812","General Simon Bolivar","1","9.2489"
"10008","37792","Guadalupe Victoria","1","2.6460"
"10012","164763","Lerdo","1","0.6069"
"10013","28301","Mapimi","1","3.5334"
"10028","13310","San Juan del Rio","1","7.5131"
"11011","101319","Cortazar","1","0.9869"
"11021","54378","Moroleon","1","1.8389"
"11033","127678","San Luis de la Paz","1","0.7832"
"11042","153094","Valle de Santiago","1","0.6531"
"11044","62918","Villagran","1","1.5893"
"12008","8914","Atenango del Rio","1","11.2183"
"12017","14050","Cocula","1","7.1174"
"12028","133299","Chilapa de Alvarez","1","0.7501"
"12051","36981","Quechultenango","1","2.7040"
"13003","61311","Actopan","1","1.6310"
"13019","19638","Chilcuautla","1","5.0921"
"13022","16053","Epazoyucan","1","6.2293"
"13023","38879","Francisco I. Madero","1","2.5720"
"13024","19077","Huasca de Ocampo","1","5.2419"
"13028","139683","Huejutla de Reyes","1","0.7159"
"13039","15737","Mineral del Monte","1","6.3544"
"13055","18386","Santiago de Anaya","1","5.4389"
"13061","58776","Tepeapulco","1","1.7013"
"13063","93651","Tepeji del Rio de Ocampo","1","1.0677"
"13065","12533","Tetepango","1","7.9789"
"13076","118824","Tula de Allende","1","0.8415"
"13084","42586","Zimapan","1","2.3481"
"14006","64979","Ameca","1","1.5389"
"14024","28567","Cocula","1","3.5005"
"14053","175696","Lagos de Moreno","1","0.5691"
"14077","29493","San Martin Hidalgo","1","3.3906"
"14101","577668","Tonala","1","0.1731"
"14108","37226","Tuxpan","1","2.6862"
"14118","23957","Yahualica de Gonzalez Gallo","1","4.1741"
"15008","28414","Amatepec","1","3.5193"
"15009","54548","Amecameca","1","1.8332"
"15021","41717","Coatepec Harinas","1","2.3971"
"15023","44201","Coyotepec","1","2.2623"
"15043","32120","Xalatlaco","1","3.1133"
"15044","29179","Jaltenco","1","3.4271"
"15047","79263","Jiquipilco","1","1.2616"
"15048","70471","Jocotitlan","1","1.4190"
"15059","43640","Nextlalpan","1","2.2914"
"15061","9753","Nopaltepec","1","10.2532"
"15068","31154","Ozumba","1","3.2098"
"15072","14608","Rayon","1","6.8455"
"15077","6556","San Simon de Guerrero","1","15.2532"
"15090","92048","Tenango del Valle","1","1.0863"
"15103","51370","Tlalmanalco","1","1.9466"
"15110","70192","Valle de Bravo","1","1.4246"
"15124","98957","San Jose del Rincon","1","1.0105"
"15125","10960","Tonanitla","1","9.1240"
"16009","38656","Ario","1","2.5869"
"16019","19674","Cotija","1","5.0828"
"16023","10785","Chavinda","1","9.2721"
"16032","16105","Erongaricuaro","1","6.2092"
"16035","35584","La Huacana","1","2.8102"
"16039","9250","Huiramba","1","10.8108"
"16045","34725","Jiquilpan","1","2.8797"
"16049","18769","Madero","1","5.3279"
"16060","10290","Numaran","1","9.7181"
"16066","98122","Patzcuaro","1","1.0191"
"16084","30945","Tangamandapio","1","3.2315"
"16108","207985","Zamora","1","0.4808"
"16109","3343","Zinaparo","1","29.9132"
"16112","172015","Zitacuaro","1","0.5813"
"17005","10479","Coatlan del Rio","1","9.5428"
"17009","20372","Huitzilac","1","4.9086"
"17012","61366","Jojutla","1","1.6295"
"17017","70917","Puente de Ixtla","1","1.4100"
