"cve_ent","poblacion","nombre","totalCasos","tasax100k"
"15074","139213","San Felipe del Progreso","2","1.4366"
"30087","513443","Xalapa","7","1.3633"
"11007","530820","Celaya","7","1.3187"
"11042","153094","Valle de Santiago","2","1.3063"
"26029","171035","Guaymas","2","1.1693"
"30141","173149","San Andres Tuxtla","2","1.1550"
"16108","207985","Zamora","2","0.9616"
"19009","105145","Cadereyta Jimenez","1","0.9510"
"30123","105926","Panuco","1","0.9440"
"11028","106978","Salvatierra","1","0.9347"
"30155","109017","Tantoyuca","1","0.9172"
"19041","112583","Pesqueria","1","0.8882"
"7108","115691","Villaflores","1","0.8643"
"5033","117370","San Pedro","1","0.8520"
"13076","118824","Tula de Allende","1","0.8415"
"16088","119032","Tarimbaro","1","0.8401"
"7059","239322","Ocosingo","2","0.8356"
"12038","130796","Zihuatanejo de Azueta","1","0.7645"
"30118","134420","Orizaba","1","0.7439"
"10005","695597","Durango","5","0.7188"
"13028","139683","Huejutla de Reyes","1","0.7159"
"30048","145830","Cosoleacaque","1","0.6857"
"22016","301541","San Juan del Rio","2","0.6632"
"14097","644175","Tlajomulco de Zuñiga","4","0.6209"
"21132","162438","San Martin Texmelucan","1","0.6156"
"10012","164763","Lerdo","1","0.6069"
"30189","169763","Tuxpan","1","0.5890"
"14053","175696","Lagos de Moreno","1","0.5691"
"14098","708568","San Pedro Tlaquepaque","4","0.5645"
"8017","181552","Cuauhtemoc","1","0.5508"
"32010","242826","Fresnillo","1","0.4118"
"6009","134631","Tecoman","0","0.0000"
"7031","140023","Chilon","0","0.0000"
"7052","134759","Las Margaritas","0","0.0000"
"7061","100318","Ocozocoautla de Espinosa","0","0.0000"
"8021","160245","Delicias","0","0.0000"
"8032","117624","Hidalgo del Parral","0","0.0000"
"11014","160771","Dolores Hidalgo Cuna de la Independencia Nacional","0","0.0000"
"11030","118417","San Felipe","0","0.0000"
"11031","125904","San Francisco del Rincon","0","0.0000"
"14023","113944","Zapotlan el Grande","0","0.0000"
"14070","200159","El Salto","0","0.0000"
"14093","151133","Tepatitlan de Morelos","0","0.0000"
"15114","110462","Villa Victoria","0","0.0000"
"16006","133955","Apatzingan","0","0.0000"
"16034","129114","Hidalgo","0","0.0000"
"21071","111389","Huauchinango","0","0.0000"
"24013","187772","Ciudad Valles","0","0.0000"
"24037","100187","Tamazunchale","0","0.0000"
"30124","166496","Papantla","0","0.0000"
"30160","110365","Alamo Temapache","0","0.0000"
"30174","110811","Tierra Blanca","0","0.0000"
"30175","100967","Tihuatlan","0","0.0000"
